subcategory_1,subcategory_2,similarity
Folk,Rodeo,0.3802596926689148
Rock,Wrestling,0.38019782304763794
Latin,Rock,0.3791348934173584
Fairs & Festivals,Roller Derby,0.3789132833480835
Blues,Performance Art,0.3763323426246643
Basketball,Football,0.3755631446838379
Basketball,Pop,0.37470296025276184
Circus & Specialty Acts,Ice Shows,0.3745380938053131
Music,Roller Derby,0.37416553497314453
Latin,Pop,0.37202322483062744
Action/Adventure,Psychics/Mediums/Hypnotists,0.37193965911865234
Children's Theatre,Volleyball,0.37174445390701294
Drama,Miscellaneous Theatre,0.3717295527458191
Hip-Hop/Rap,Lecture/Seminar,0.37135374546051025
Comedy,Fine Art,0.37091168761253357
Country,Folk,0.3705331087112427
Hockey,Volleyball,0.3697183132171631
Alternative,Fine Art,0.3696151673793793
Jazz,Reggae,0.36915481090545654
Horror,Ice Shows,0.3688663840293884
Dance,Ice Shows,0.368829607963562
Music,Reggae,0.368222177028656
Latin,Martial Arts,0.36803242564201355
Hockey,Roller Derby,0.36776643991470337
Basketball,World,0.3677632808685303
Hockey,Jazz,0.36762332916259766
Blues,Comedy,0.36738020181655884
Music,Wrestling,0.36718064546585083
Dance,Roller Derby,0.3667987585067749
Children's Music,Reggae,0.3654608726501465
Metal,Wrestling,0.36542290449142456
Motorsports/Racing,Roller Derby,0.3653867244720459
Ice Shows,Spectacular,0.36514243483543396
Action/Adventure,Hobby/Special Interest Expos,0.36421990394592285
Performance Art,Rodeo,0.36421313881874084
Metal,Music,0.3629993200302124
Dance/Electronic,Miscellaneous Theatre,0.3628890812397003
Jazz,Performance Art,0.36283260583877563
Comedy,Drama,0.362781822681427
Alternative,Miscellaneous Theatre,0.3624258041381836
Music,Rodeo,0.36239194869995117
Boxing,Hockey,0.36213600635528564
Dance,Music,0.3619954586029053
Blues,World,0.3619178235530853
Football,Wrestling,0.3618173599243164
Folk,Pop,0.3613141179084778
Classical,Opera,0.361181378364563
Hobby/Special Interest Expos,Lecture/Seminar,0.36048728227615356
Dance,Soccer,0.36002835631370544
Magic & Illusion,Psychics/Mediums/Hypnotists,0.35985738039016724
